Date,PotID,Species,Litter,Dry,H1_cm,H2_cm,H3_cm,H4_cm,H5_cm
7/29/18,1,Mv,Y,Y,3.8,7.5,6.5,5.5,5.9
7/29/18,2,Mv,Y,Y,8.5,8,7,5.1,6.5
7/29/18,3,Mv,Y,Y,5,9.1,7,5.9,7.4
7/29/18,4,Mv,Y,Y,7.5,7.5,6,7.9,7.2
7/29/18,5,Mv,Y,Y,8.4,7.9,5.9,5.1,4.4
7/30/18,1,Mv,Y,N,5.5,7,8.1,7.5,4.8
7/30/18,2,Mv,Y,N,7.9,6,8.1,6.8,6.4
7/30/18,3,Mv,Y,N,9.4,8.5,8.6,6.5,6.6
7/30/18,4,Mv,Y,N,7.9,5.8,8.2,6.5,6.6
7/30/18,5,Mv,Y,N,5.5,6.5,6,7.5,8.2
7/30/18,1,Mv,N,N,7,6.5,6.7,8.1,9.1
7/30/18,2,Mv,N,N,8.5,9,9.5,8.1,8.9
7/30/18,3,Mv,N,N,9.6,7.1,7,8.6,5.9
7/30/18,4,Mv,N,N,5.1,7.9,6,9.4,9.6
7/30/18,5,Mv,N,N,7.5,7.5,7,7.4,6
7/30/18,1,Ev,Y,N,14.5,12.6,12.3,5.7,13.5
7/30/18,2,Ev,Y,N,15.2,13.5,4.5,5.5,5.6
7/30/18,3,Ev,Y,N,8.1,13.5,6.1,6.2,7.6
7/30/18,4,Ev,Y,N,11.5,5,6.2,17,15
7/30/18,5,Ev,Y,N,17.5,15,8,17,10
7/30/18,1,Ev,N,N,15.6,13.2,8.4,8.8,13.5
7/30/18,2,Ev,N,N,12.5,9.1,8.5,13.6,15
7/30/18,3,Ev,N,N,17.5,18.1,10,22,10.1
7/30/18,4,Ev,N,N,14,19.9,7.5,8.5,18.4
7/30/18,5,Ev,N,N,16.4,10.7,24.7,15,11
7/30/18,1,Et,Y,N,7.1,7.5,6.5,6.4,7.1
7/30/18,2,Et,Y,N,9.2,7.6,5,8,9.5
7/30/18,3,Et,Y,N,6.6,8,7.4,10.5,8.9
7/30/18,4,Et,Y,N,10,12,13,11.8,5
7/30/18,5,Et,Y,N,6.8,11.4,3,8,8
7/30/18,1,Et,N,N,9.6,10.6,7.1,6,8.7
7/30/18,2,Et,N,N,6.5,9,6.2,8.6,9.5
7/30/18,3,Et,N,N,9.2,9.2,14.5,4.6,7.6
7/30/18,4,Et,N,N,8.7,9,11.6,7.5,10.5
7/30/18,5,Et,N,N,8.2,13.4,10,5.5,9.6
7/29/18,1,Pc,Y,N,8.1,7.1,4,8,6.1
7/29/18,2,Pc,Y,N,4.4,7.7,7.6,3,1.1
7/29/18,3,Pc,Y,N,7.8,5,6.9,4.6,5
7/29/18,4,Pc,Y,N,2.8,8,6,5.6,1.5
7/29/18,5,Pc,Y,N,2.9,6.1,4.4,5.9,2.4
7/30/18,1,Pc,N,N,7,4.5,4,2.5,3
7/30/18,2,Pc,N,N,5.5,8.4,4.1,8.5,5
7/30/18,3,Pc,N,N,2,1,4,2.9,2.4
7/30/18,4,Pc,N,N,4.5,4.9,8.1,8.9,3.1
7/30/18,5,Pc,N,N,9.5,4.3,7.1,5.5,3
7/30/18,1,Cc,Y,N,4,4,4.1,4.6,3
7/30/18,2,Cc,Y,N,3.4,4,4.1,3.9,4
7/30/18,3,Cc,Y,N,3.2,5.6,4.9,4.1,6.1
7/30/18,4,Cc,Y,N,6.6,5.6,1.5,5,4.1
7/30/18,5,Cc,Y,N,5,4.9,4,8,4.5
7/30/18,1,Cc,N,N,3.1,7,7.9,8.9,3.5
7/30/18,2,Cc,N,N,7.5,9.1,6,6.1,5
7/30/18,3,Cc,N,N,6.5,6,8.3,5.5,4.5
7/30/18,4,Cc,N,N,6.5,8.7,7.5,6.5,4.5
7/30/18,5,Cc,N,N,8.4,9.2,5.6,4.1,5
7/29/18,1,Gs,Y,N,3.5,2.2,2.4,2.3,2.9
7/29/18,2,Gs,Y,N,3.1,2,3.6,2.5,2
7/29/18,3,Gs,Y,N,2.5,3.3,2.7,3.5,2.5
7/29/18,4,Gs,Y,N,2.6,3.1,3.2,2.5,1.5
7/29/18,5,Gs,Y,N,3,4.4,1.8,2.1,3.2
7/30/18,1,Gs,N,N,3,4.5,2,2.6,2.1
7/30/18,2,Gs,N,N,2.5,1.7,2.2,2.1,1.7
7/30/18,3,Gs,N,N,4.2,1.6,2,0.9,2
7/30/18,4,Gs,N,N,2.1,2.2,1.5,1.5,2
7/30/18,5,Gs,N,N,2.5,1.2,2.4,1.6,1.2
