Date,Time,PotId,Species,Treatment,LeafMoisture,Notes
7/30/20,4:20 PM,1,Cc,high moisture,NA,Covered by litter
7/30/20,4:20 PM,2,Cc,high moisture,NA,Covered by litter
7/30/20,4:20 PM,3,Cc,high moisture,Y,
7/30/20,4:20 PM,4,Cc,high moisture,Y,
7/30/20,4:20 PM,5,Cc,high moisture,Y,
7/30/20,4:20 PM,1,Gs,high moisture,NA,Covered by litter
7/30/20,4:20 PM,2,Gs,high moisture,Y,
7/30/20,4:20 PM,3,Gs,high moisture,Y,
7/30/20,4:20 PM,4,Gs,high moisture,Y,
7/30/20,4:20 PM,5,Gs,high moisture,Y,
7/30/20,4:20 PM,1,Et,high moisture,Y,
7/30/20,4:20 PM,2,Et,high moisture,Y,
7/30/20,4:20 PM,3,Et,high moisture,Y,
7/30/20,4:20 PM,4,Et,high moisture,Y,
7/30/20,4:20 PM,5,Et,high moisture,Y,
7/30/20,4:20 PM,1,Ev,high moisture,Y,
7/30/20,4:20 PM,2,Ev,high moisture,Y,
7/30/20,4:20 PM,3,Ev,high moisture,Y,
7/30/20,4:20 PM,4,Ev,high moisture,Y,
7/30/20,4:20 PM,5,Ev,high moisture,Y,
7/30/20,4:20 PM,1,Mv,Dry,Y,But not much
7/30/20,4:20 PM,2,Mv,Dry,Y,But not much
7/30/20,4:20 PM,3,Mv,Dry,Y,But not much
7/30/20,4:20 PM,4,Mv,Dry,Y,But not much
7/30/20,4:20 PM,5,Mv,Dry,Y,But not much
7/30/20,4:20 PM,1,Mv,high moisture,Y,
7/30/20,4:20 PM,2,Mv,high moisture,Y,
7/30/20,4:20 PM,3,Mv,high moisture,Y,
7/30/20,4:20 PM,4,Mv,high moisture,Y,
7/30/20,4:20 PM,5,Mv,high moisture,Y,
7/30/20,4:20 PM,1,Pc,high moisture,Y,
7/30/20,4:20 PM,2,Pc,high moisture,Y,
7/30/20,4:20 PM,3,Pc,high moisture,Y,
7/30/20,4:20 PM,4,Pc,high moisture,Y,
7/30/20,4:20 PM,5,Pc,high moisture,Y,
7/30/20,6:20 PM,1,Cc,high moisture,NA,Covered by litter
7/30/20,6:20 PM,2,Cc,high moisture,NA,Covered by litter
7/30/20,6:20 PM,3,Cc,high moisture,Y,
7/30/20,6:20 PM,4,Cc,high moisture,Y,
7/30/20,6:20 PM,5,Cc,high moisture,Y,
7/30/20,6:20 PM,1,Gs,high moisture,NA,Covered by litter
7/30/20,6:20 PM,2,Gs,high moisture,Y,
7/30/20,6:20 PM,3,Gs,high moisture,Y,
7/30/20,6:20 PM,4,Gs,high moisture,Y,
7/30/20,6:20 PM,5,Gs,high moisture,Y,
7/30/20,6:20 PM,1,Et,high moisture,Y,
7/30/20,6:20 PM,2,Et,high moisture,Y,
7/30/20,6:20 PM,3,Et,high moisture,Y,
7/30/20,6:20 PM,4,Et,high moisture,Y,
7/30/20,6:20 PM,5,Et,high moisture,Y,
7/30/20,6:20 PM,1,Ev,high moisture,Y,
7/30/20,6:20 PM,2,Ev,high moisture,Y,
7/30/20,6:20 PM,3,Ev,high moisture,Y,
7/30/20,6:20 PM,4,Ev,high moisture,Y,
7/30/20,6:20 PM,5,Ev,high moisture,Y,
7/30/20,6:20 PM,1,Mv,Dry,Y,
7/30/20,6:20 PM,2,Mv,Dry,Y,
7/30/20,6:20 PM,3,Mv,Dry,N,
7/30/20,6:20 PM,4,Mv,Dry,N,
7/30/20,6:20 PM,5,Mv,Dry,N,
7/30/20,6:20 PM,1,Mv,high moisture,Y,
7/30/20,6:20 PM,2,Mv,high moisture,Y,
7/30/20,6:20 PM,3,Mv,high moisture,Y,
7/30/20,6:20 PM,4,Mv,high moisture,Y,
7/30/20,6:20 PM,5,Mv,high moisture,Y,
7/30/20,6:20 PM,1,Pc,high moisture,Y,
7/30/20,6:20 PM,2,Pc,high moisture,Y,
7/30/20,6:20 PM,3,Pc,high moisture,Y,
7/30/20,6:20 PM,4,Pc,high moisture,Y,
7/30/20,6:20 PM,5,Pc,high moisture,Y,
7/31/20,9:48 AM,1,Cc,high moisture,NA,Covered by litter
7/31/20,9:48 AM,2,Cc,high moisture,NA,Covered by litter
7/31/20,9:48 AM,3,Cc,high moisture,Y,
7/31/20,9:48 AM,4,Cc,high moisture,Y,
7/31/20,9:48 AM,5,Cc,high moisture,Y,
7/31/20,9:48 AM,1,Gs,high moisture,NA,Covered by litter
7/31/20,9:48 AM,2,Gs,high moisture,Y,
7/31/20,9:48 AM,3,Gs,high moisture,Y,
7/31/20,9:48 AM,4,Gs,high moisture,Y,
7/31/20,9:48 AM,5,Gs,high moisture,Y,
7/31/20,9:48 AM,1,Et,high moisture,Y,
7/31/20,9:48 AM,2,Et,high moisture,Y,
7/31/20,9:48 AM,3,Et,high moisture,Y,
7/31/20,9:48 AM,4,Et,high moisture,Y,
7/31/20,9:48 AM,5,Et,high moisture,Y,
7/31/20,9:48 AM,1,Ev,high moisture,Y,
7/31/20,9:48 AM,2,Ev,high moisture,Y,
7/31/20,9:48 AM,3,Ev,high moisture,Y,
7/31/20,9:48 AM,4,Ev,high moisture,Y,
7/31/20,9:48 AM,5,Ev,high moisture,Y,
7/31/20,9:48 AM,1,Mv,Dry,Y,
7/31/20,9:48 AM,2,Mv,Dry,Y,
7/31/20,9:48 AM,3,Mv,Dry,Y,
7/31/20,9:48 AM,4,Mv,Dry,Y,
7/31/20,9:48 AM,5,Mv,Dry,Y,
7/31/20,9:48 AM,1,Mv,high moisture,Y,
7/31/20,9:48 AM,2,Mv,high moisture,Y,
7/31/20,9:48 AM,3,Mv,high moisture,Y,
7/31/20,9:48 AM,4,Mv,high moisture,Y,
7/31/20,9:48 AM,5,Mv,high moisture,Y,
7/31/20,9:48 AM,1,Pc,high moisture,Y,
